time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.483531431809608447e-01
4.026845637583892357e-02,2.843970920873703165e-03,7.109927302184257392e-02,4.586742505151567006e-01
8.053691275167784713e-02,8.017932149203104916e-03,1.293490307082350299e-01,3.628167261675105393e-01
1.208053691275167707e-01,1.493582064223958859e-02,1.729472123259120919e-01,2.624063039123532559e-01
1.610738255033556943e-01,2.295799894298535676e-02,2.005544575186442580e-01,1.591444727809131487e-01
2.013422818791946178e-01,3.141108180384261789e-02,2.113270715214315976e-01,5.477997100985033258e-02
2.416107382550335414e-01,3.960858934372639417e-02,2.049376884970944557e-01,-4.892069485574138815e-02
2.818791946308724650e-01,4.687191154254351233e-02,1.815830549704278707e-01,-1.502030533242075527e-01
3.221476510067113885e-01,5.255106161938954273e-02,1.419787519211508087e-01,-2.473540725219653957e-01
3.624161073825503121e-01,5.604470598638259388e-02,8.734110917482632019e-02,-3.387304819277087709e-01
4.026845637583892357e-01,5.681898438159301706e-02,1.935695988026051029e-02,-4.227854636679311273e-01
4.429530201342281592e-01,5.442467107653845004e-02,-5.985783262636421020e-02,-4.980933664627357760e-01
4.832214765100670828e-01,4.851227094440932475e-02,-1.478100033032281879e-01,-5.633723061944619914e-01
5.234899328859059509e-01,3.884468736975527081e-02,-2.416895893663512651e-01,-6.175046785198341492e-01
5.637583892617449299e-01,2.530713953221070539e-02,-3.384386959386141980e-01,-6.595556709596948064e-01
6.040268456375839090e-01,7.914045180784347322e-03,-4.348273587856589240e-01,-6.887897974666631340e-01
6.442953020134227771e-01,-1.318737382428165905e-02,-5.275354751266501108e-01,-7.046852924026758558e-01
6.845637583892616451e-01,-3.771695475088773786e-02,-6.132395231651518452e-01,-7.069459322578850458e-01
7.248322147651006242e-01,-6.526504815031726470e-02,-6.887023349857380738e-01,-6.955095708625360640e-01
7.651006711409396033e-01,-9.529959121385173093e-02,-7.508635765883615587e-01,-6.705524631294954574e-01
8.053691275167784713e-01,-1.271767090273100420e-01,-7.969279453364580545e-01,-6.324883983052719261e-01
8.456375838926173394e-01,-1.601546127421377697e-01,-8.244475928706930246e-01,-5.819618281870759802e-01
8.859060402684563185e-01,-1.934104170073115969e-01,-8.313951066293459036e-01,-5.198345769901909774e-01
9.261744966442952975e-01,-2.260593642885802279e-01,-8.162236820317156916e-01,-4.471663184285223358e-01
9.664429530201341656e-01,-2.571758421561440855e-01,-7.779119466890968004e-01,-3.651897053219822498e-01
1.006711409395973034e+00,-2.858155298087017293e-01,-7.159921913139404293e-01,-2.752816995717992654e-01
1.046979865771811902e+00,-3.110380229123873019e-01,-6.305623275921399262e-01,-1.789331275124403930e-01
1.087248322147650992e+00,-3.319293607909923893e-01,-5.222834469651272959e-01,-7.771865713701199552e-02
1.127516778523489860e+00,-3.476240039937478765e-01,-3.923660800688870687e-01,2.673080110744465929e-02
