time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.406196466920988514e-02
8.096674612186863587e-03,-5.519396937601510545e-06,-8.399204743044598248e-04,-1.576057421628049987e-02
1.619334922437372717e-02,-2.220426590152253381e-05,-1.767950733953635618e-03,-1.745918376335111807e-02
2.429002383656059250e-02,-5.024462411843780724e-05,-2.781394585677956621e-03,-1.915779331042173281e-02
3.238669844874745435e-02,-8.983048881502205473e-05,-3.877555836207852071e-03,-2.085640285749235101e-02
4.048337306093431620e-02,-1.411518772179500036e-04,-5.053738292273751535e-03,-2.255501240456296574e-02
4.858004767312118499e-02,-2.043988065538964827e-04,-6.307245760606086313e-03,-2.425362195163358048e-02
5.667672228530804684e-02,-2.797612940495360838e-04,-7.635382047935282933e-03,-2.595223149870419521e-02
6.477339689749490870e-02,-3.674293569315436291e-04,-9.035450960991772695e-03,-2.765084104577481341e-02
7.287007150968177749e-02,-4.675930124265939678e-04,-1.050475630650598603e-02,-2.934945059284543162e-02
8.096674612186863240e-02,-5.804422777613613528e-04,-1.204060189120834817e-02,-3.104806013991604635e-02
8.906342073405550119e-02,-7.061671701625212840e-04,-1.364029152182929215e-02,-3.274666968698666109e-02
9.716009534624236998e-02,-8.449577068567479601e-04,-1.530112900509924927e-02,-3.444527923405728276e-02
1.052567699584292249e-01,-9.970039050707160677e-04,-1.702041814774864215e-02,-3.614388878112789749e-02
1.133534445706160937e-01,-1.162495782031100836e-03,-1.879546275650790729e-02,-3.784249832819851223e-02
1.214501191828029486e-01,-1.341623354964576300e-03,-2.062356663810746907e-02,-3.954110787526912696e-02
1.295467937949898174e-01,-1.534576641097817797e-03,-2.250203359927776398e-02,-4.123971742233974169e-02
1.376434684071766723e-01,-1.741545657657499798e-03,-2.442816744674921117e-02,-4.293832696941035643e-02
1.457401430193635550e-01,-1.962720421870297639e-03,-2.639927198725225063e-02,-4.463693651648097116e-02
1.538368176315504099e-01,-2.198290950962884707e-03,-2.841265102751730151e-02,-4.633554606355159283e-02
1.619334922437372648e-01,-2.448447262161936554e-03,-3.046560837427480378e-02,-4.803415561062220757e-02
1.700301668559241475e-01,-2.713379372694128735e-03,-3.255544783425518007e-02,-4.973276515769282230e-02
1.781268414681110024e-01,-2.993277299786134202e-03,-3.467947321418886342e-02,-5.143137470476343703e-02
1.862235160802978573e-01,-3.288331060664628942e-03,-3.683498832080627644e-02,-5.312998425183405177e-02
1.943201906924847400e-01,-3.598730672556288077e-03,-3.901929696083785565e-02,-5.482859379890467344e-02
2.024168653046715949e-01,-3.924666152687785424e-03,-4.122970294101403060e-02,-5.652720334597528817e-02
2.105135399168584498e-01,-4.266327518285794804e-03,-4.346351006806523087e-02,-5.822581289304590291e-02
2.186102145290453047e-01,-4.623904786576992637e-03,-4.571802214872187214e-02,-5.992442244011651764e-02
2.267068891412321874e-01,-4.997587974788054478e-03,-4.799054298971441174e-02,-6.162303198718713237e-02
