time,pos,vel,torque
0.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,1.010482307214584097e+00
1.000000000000000021e-02,1.570444431326323276e+00,7.028581913155347582e-02,9.601589096820967173e-01
2.000000000000000042e-02,1.569410223994127218e+00,1.364448657708067225e-01,9.075928726470670060e-01
2.999999999999999889e-02,1.567736264009804259e+00,1.982205327108633175e-01,8.528721002312443789e-01
4.000000000000000083e-02,1.565467594618435987e+00,2.553726827811119149e-01,7.960894327341628829e-01
5.000000000000000278e-02,1.562651574864982074e+00,3.076783494400875951e-01,7.373425056385132237e-01
5.999999999999999778e-02,1.559337704587818507e+00,3.549323905605727414e-01,6.767335970613169716e-01
7.000000000000000666e-02,1.555577443117152292e+00,3.969480934653222270e-01,6.143694629023793707e-01
8.000000000000000167e-02,1.551424022176449702e+00,4.335577290651390081e-01,5.503611591731859543e-01
8.999999999999999667e-02,1.546932253507136812e+00,4.646130528361885337e-01,4.848238512502365261e-01
1.000000000000000056e-01,1.542158331759607925e+00,4.899857503586514396e-01,4.178766100765889391e-01
1.100000000000000006e-01,1.537159633215982257e+00,5.095678252273163622e-01,3.496421956234978534e-01
1.199999999999999956e-01,1.531994510931057762e+00,5.232719273347282707e-01,2.802468282093268925e-01
1.300000000000000044e-01,1.526722086896542985e+00,5.310316198123665732e-01,2.098199485444263435e-01
1.400000000000000133e-01,1.521402041848993303e+00,5.328015832838263188e-01,1.384939676177016910e-01
1.499999999999999944e-01,1.516094403353196896e+00,5.285577565208736672e-01,6.640400775330040917e-02
1.600000000000000033e-01,1.510859332799426857e+00,5.182974130799284929e-01,-6.312363664612994502e-03
1.700000000000000122e-01,1.505756911954641675e+00,5.020391740118136381e-01,-7.951540618198080224e-02
1.799999999999999933e-01,1.500846929704157562e+00,4.798229572586624192e-01,-1.530634823000255607e-01
1.900000000000000022e-01,1.496188669611649313e+00,4.517098648551624573e-01,-2.268133358527705812e-01
2.000000000000000111e-01,1.491840698911798269e+00,4.177820095136215994e-01,-3.006203711130506218e-01
2.099999999999999922e-01,1.487860659532068253e+00,3.781422825717757341e-01,-3.743389311233037975e-01
2.200000000000000011e-01,1.484305061718642627e+00,3.329140655991784103e-01,-4.478225739263086980e-01
2.300000000000000100e-01,1.481229080817433763e+00,2.822408881759072008e-01,-5.209243456040077991e-01
2.399999999999999911e-01,1.478686357735325307e+00,2.262860344635579946e-01,-5.934970493130131697e-01
2.500000000000000000e-01,1.476728803580594773e+00,1.652321011749288138e-01,-6.653935098249899038e-01
2.600000000000000089e-01,1.475406408955991733e+00,9.928050941220381564e-02,-7.364668334289228291e-01
2.700000000000000178e-01,1.474767058354468530e+00,2.865097258584922701e-02,-8.065706634191536217e-01
2.800000000000000266e-01,1.474856350087220491e+00,-4.641907774484449467e-02,-8.755594317659060044e-01
2.899999999999999800e-01,1.475717422157591496e+00,-1.256751067410099565e-01,-9.432886079310119909e-01
2.999999999999999889e-01,1.477390784483452180e+00,-2.088461310505272395e-01,-1.009614946137650904e+00
3.099999999999999978e-01,1.479914157865598323e+00,-2.956454132758228881e-01,-1.074396732715979574e+00
3.200000000000000067e-01,1.483322320101019054e+00,-3.857711965995956893e-01,-1.137494035413791460e+00
3.300000000000000155e-01,1.487646959647755729e+00,-4.789074806822105623e-01,-1.198768956770588590e+00
3.400000000000000244e-01,1.492916537262416243e+00,-5.747248405747094058e-01,-1.258085893793364995e+00
3.500000000000000333e-01,1.499156156051752564e+00,-6.728812909605035308e-01,-1.315311806232858149e+00
3.599999999999999867e-01,1.506387440405316580e+00,-7.730231985121374105e-01,-1.370316495731275452e+00
3.699999999999999956e-01,1.514628424305894061e+00,-8.747862454927627374e-01,-1.422972897989603247e+00
3.800000000000000044e-01,1.523893449546764645e+00,-9.777964479124251485e-01,-1.473157389879448997e+00
3.900000000000000133e-01,1.534193074418022551e+00,-1.081671231537047362e+00,-1.520750113098164213e+00
4.000000000000000222e-01,1.545533993456195576e+00,-1.186020568817282239e+00,-1.565635315536453076e+00
