des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,-5.504946192332195427e-05,-9.915914293587598308e-03,-2.201228681636987206e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,-2.042171423037119997e-04,-1.990112814054218610e-02,-2.378407979416759521e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,-4.589556855987410137e-04,-3.102531020914239823e-02,-2.557736262513277681e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,-8.303272268700035309e-04,-4.322266594112558064e-02,-2.731871139964457962e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-1.328675501720511139e-03,-5.641534751676564874e-02,-2.899315533214434915e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000472e-02,-1.963552272212324215e-03,-7.052283705403980529e-02,-3.059887423636741266e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-02,-2.743694208575145083e-03,-8.546266300283493489e-02,-3.213482478873033732e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,-3.676997817728176830e-03,-1.011492952985122151e-01,-3.359812379266454707e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,-4.770490321370049122e-03,-1.174944386307094357e-01,-3.498603848701127284e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,-6.030303945575404313e-03,-1.344074212563763360e-01,-3.629611896319231423e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999867e-01,-7.461653221227039674e-03,-1.517954084628115319e-01,-3.752594314428263633e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999817e-01,-9.068814726838996670e-03,-1.695636774349612297e-01,-3.867320095632199028e-01
