time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,-1.098901098901450268e-02,-4.395604395604379988e-03
3.334283828735351562e-03,-1.457236591136279458e-03,-1.098901098901450268e-02,-1.318681318681313996e-02
6.668090820312500000e-03,-1.457236591136279458e-03,5.494505494505830256e-02,-2.197802197802189994e-02
1.000213623046875000e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,-4.395604395604379988e-03
1.333594322204589844e-02,-1.457236591136279458e-03,-1.428571428571459023e-01,-1.318681318681313996e-02
1.666975021362304688e-02,-1.457236591136279458e-03,5.494505494505830256e-02,4.395604395604379988e-03
2.000355720520019531e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,4.395604395604379988e-03
2.333736419677734375e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,9.230769230769197975e-02
2.667117118835449219e-02,-1.457236591136279458e-03,1.868131868131897022e-01,1.098901098901094997e-01
3.000497817993164062e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,1.538461538461532996e-01
3.333902359008789062e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,1.978021978021970995e-01
3.667283058166503906e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,2.505494505494496593e-01
4.000663757324218750e-02,-1.457236591136279458e-03,-1.428571428571459023e-01,3.120879120879109792e-01
4.336190223693847656e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,3.560439560439547790e-01
4.669594764709472656e-02,-1.457236591136279458e-03,1.208791208791240024e-01,4.351648351648336188e-01
5.002975463867187500e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,5.142857142857160113e-01
5.336356163024902344e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,5.670329670329685712e-01
5.669736862182617188e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,6.373626373626386510e-01
6.003117561340332031e-02,-1.457236591136279458e-03,1.208791208791240024e-01,6.901098901098912108e-01
6.336522102355957031e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,7.692307692307700506e-01
6.669902801513671875e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,8.835164835164839303e-01
7.003283500671386719e-02,-1.457236591136279458e-03,5.494505494505830256e-02,9.890109890109890500e-01
7.336664199829101562e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,1.050549450549450370e+00
7.670044898986816406e-02,1.457236591136279458e-03,5.494505494505830256e-02,1.120879120879120450e+00
8.003449440002441406e-02,1.457236591136279458e-03,1.208791208791240024e-01,1.226373626373625569e+00
8.336830139160156250e-02,1.457236591136279458e-03,5.494505494505830256e-02,1.375824175824174489e+00
8.670258522033691406e-02,1.457236591136279458e-03,1.208791208791240024e-01,2.008791208791208760e+00
9.003663063049316406e-02,1.457236591136279458e-03,5.494505494505830256e-02,1.876923076923077360e+00
9.337067604064941406e-02,1.457236591136279458e-03,5.494505494505830256e-02,2.052747252747252560e+00
9.670448303222656250e-02,1.457236591136279458e-03,-1.098901098901450268e-02,1.621978021978023321e+00
1.000385284423828125e-01,1.457236591136279458e-03,-1.098901098901450268e-02,1.727472527472528441e+00
1.033723354339599609e-01,1.457236591136279458e-03,5.494505494505830256e-02,1.252747252747251849e+00
1.067061424255371094e-01,1.457236591136279458e-03,2.527472527472554020e-01,1.358241758241756969e+00
