time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,-1.098901098901450268e-02,-1.318681318681313996e-02
2.000045776367187500e-02,1.020065613793974535e-02,-1.219780219780218999e+00,1.868131868131868600e+00
4.000115394592285156e-02,1.602960250248486318e-02,-4.505494505494525015e-01,1.956043956043956200e+00
6.000137329101562500e-02,2.477302204928832907e-02,3.186813186813211018e-01,1.964835164835164960e+00
8.000159263610839844e-02,3.643091477836435388e-02,6.263736263736277010e-01,1.692307692307693401e+00
1.000020503997802734e-01,5.391775387197128566e-02,6.923076923076934008e-01,1.709890109890110921e+00
1.200022697448730469e-01,7.140459296559242830e-02,1.395604395604394199e+00,1.648351648351649601e+00
1.400024890899658203e-01,9.180590524147191900e-02,1.593406593406591298e+00,1.604395604395605801e+00
1.600027084350585938e-01,1.151216906996239686e-01,1.461538461538459899e+00,1.630769230769232081e+00
1.800029277801513672e-01,1.413519493400485771e-01,1.461538461538459899e+00,1.665934065934067121e+00
2.000031471252441406e-01,1.704966811627315337e-01,1.769230769230766498e+00,1.815384615384616041e+00
2.200033664703369141e-01,2.054703593499596082e-01,2.032967032967036403e+00,2.167032967032966440e+00
2.400035858154296875e-01,2.404440375371876826e-01,1.835164835164832198e+00,2.096703296703296360e+00
2.600038051605224609e-01,2.783321889066883159e-01,1.725274725274722698e+00,2.492307692307690559e+00
2.800040245056152344e-01,3.191348134584615082e-01,2.032967032967036403e+00,2.413186813186811719e+00
3.000042438507080078e-01,3.657663843747656074e-01,1.835164835164832198e+00,2.474725274725273039e+00
3.200044631958007812e-01,4.123979552910697066e-01,2.098901098901102102e+00,2.518681318681320391e+00
3.400049209594726562e-01,4.619439993896321539e-01,2.472527472527474401e+00,2.474725274725273039e+00
3.600051403045654297e-01,5.144045166704813710e-01,2.736263736263737201e+00,2.457142857142855519e+00
3.800053596496582031e-01,5.668650339513305880e-01,2.736263736263737201e+00,2.509890109890111631e+00
4.000055789947509766e-01,6.193255512321655942e-01,3.065934065934065700e+00,2.562637362637364191e+00
4.200057983398437500e-01,6.717860685130148113e-01,3.241758241758240899e+00,2.580219780219781711e+00
4.400060176849365234e-01,7.242465857938498175e-01,2.802197802197802901e+00,2.624175824175825511e+00
4.600062370300292969e-01,7.767071030746990346e-01,2.604395604395605801e+00,2.474725274725273039e+00
4.800064563751220703e-01,8.291676203555340408e-01,2.362637362637364902e+00,2.281318681318680319e+00
5.000066757202148438e-01,8.787136644541106989e-01,2.164835164835167802e+00,2.079120879120878840e+00
5.200068950653076172e-01,9.253452353704147981e-01,2.164835164835167802e+00,1.982417582417582480e+00
5.400071144104003906e-01,9.719768062867188974e-01,1.967032967032963597e+00,1.771428571428572241e+00
5.600073337554931641e-01,1.012779430838477879e+00,1.901098901098897898e+00,1.613186813186814561e+00
5.800075531005859375e-01,1.050667582207978512e+00,1.967032967032963597e+00,1.560439560439562001e+00
6.000077724456787109e-01,1.085641260395206587e+00,1.769230769230766498e+00,1.375824175824174489e+00
6.200079917907714844e-01,1.114785992217903754e+00,1.131868131868131400e+00,1.340659340659339449e+00
6.400082111358642578e-01,1.141016250858314152e+00,1.131868131868131400e+00,1.217582417582416809e+00
6.600084304809570312e-01,1.161417563134207853e+00,8.901098901098905003e-01,1.103296703296702930e+00
6.800086498260498047e-01,1.175989929045542226e+00,6.923076923076934008e-01,1.059340659340659130e+00
7.000088691711425781e-01,1.187647821774618251e+00,3.626373626373649017e-01,9.538461538461540101e-01
7.200093269348144531e-01,1.190562294956890810e+00,1.868131868131897022e-01,8.395604395604401304e-01
7.400095462799072266e-01,1.190562294956890810e+00,-2.087912087912116021e-01,7.868131868131875706e-01
7.600097656250000000e-01,1.184733348592359903e+00,-5.824175824175839011e-01,7.692307692307700506e-01
7.800099849700927734e-01,1.173075455863283878e+00,-7.802197802197810006e-01,6.021978021978036111e-01
8.000102043151855469e-01,1.155588616769662735e+00,-1.087912087912087600e+00,5.142857142857160113e-01
8.200104236602783203e-01,1.132272831311510686e+00,-1.219780219780218999e+00,4.439560439560423788e-01
8.400106430053710938e-01,1.103128099488827729e+00,-1.417582417582416099e+00,2.241758241758233794e-01
8.600108623504638672e-01,1.068154421301599655e+00,-1.681318681318678898e+00,6.593406593406569982e-02
8.800110816955566406e-01,1.027351796749826462e+00,-2.252747252747255402e+00,9.230769230769197975e-02
9.000113010406494141e-01,9.778057526512498043e-01,-2.626373626373627701e+00,-1.274725274725270197e-01
9.200115203857421875e-01,9.195162890058696803e-01,-2.956043956043956200e+00,-3.296703296703284991e-01
9.400119781494140625e-01,8.553978789959586493e-01,-3.197802197802197099e+00,-6.373626373626386510e-01
9.600121974945068359e-01,7.912794689860334074e-01,-3.527472527472525599e+00,-7.428571428571437707e-01
9.800124168395996094e-01,7.184176394293189105e-01,-3.901098901098897898e+00,-8.659340659340664104e-01
1.000012636184692383e+00,6.368123903257867369e-01,-4.098901098901102102e+00,-1.120879120879120450e+00
1.020012855529785156e+00,5.493781948577094454e-01,-4.494505494505496301e+00,-1.410989010989009529e+00
1.040013074874877930e+00,4.532005798428286880e-01,-5.000000000000000000e+00,-1.578021978021979521e+00
1.060013294219970703e+00,3.511940184634170237e-01,-5.000000000000000000e+00,-1.824175824175824800e+00
1.080013513565063477e+00,2.462729839017328004e-01,-5.241758241758240899e+00,-1.912087912087912400e+00
1.100013732910156250e+00,1.355230029755034593e-01,-5.439560439560437999e+00,-2.351648351648352175e+00
1.120013952255249023e+00,1.311512932021230426e-02,-5.901098901098897898e+00,-2.474725274725274815e+00
1.140014171600341797e+00,-1.122072175173514097e-01,-6.208791208791211602e+00,-2.527472527472527375e+00
1.160014390945434570e+00,-2.404440375371876826e-01,-6.142857142857145902e+00,-2.641758241758241255e+00
