time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,1.208791208791240024e-01,-4.395604395604379988e-03
2.000570297241210938e-03,-1.457236591136279458e-03,-7.692307692308020250e-02,-5.318681318681335313e-01
4.001379013061523438e-03,-1.457236591136279458e-03,1.208791208791240024e-01,-1.362637362637357796e-01
6.002187728881835938e-03,-1.457236591136279458e-03,-7.692307692308020250e-02,-3.120879120879109792e-01
8.002758026123046875e-03,-1.457236591136279458e-03,-2.747252747252773020e-01,-2.197802197802189994e-02
1.000332832336425781e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-3.560439560439547790e-01
1.200366020202636719e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,-4.087912087912073389e-01
1.400399208068847656e-02,-1.457236591136279458e-03,-3.406593406593430018e-01,-1.362637362637357796e-01
1.600480079650878906e-02,-4.371709773408838373e-03,-2.087912087912116021e-01,1.010989010989007397e-01
1.800513267517089844e-02,-4.371709773408838373e-03,-1.098901098901450268e-02,-2.417582417582408993e-01
2.000546455383300781e-02,-4.371709773408838373e-03,-3.406593406593430018e-01,-2.505494505494496593e-01
2.200603485107421875e-02,-4.371709773408838373e-03,-3.406593406593430018e-01,-2.329670329670321394e-01
2.400636672973632812e-02,-4.371709773408838373e-03,-1.428571428571459023e-01,-1.538461538461532996e-01
2.600669860839843750e-02,-4.371709773408838373e-03,-1.428571428571459023e-01,-8.351648351648321977e-02
2.800703048706054688e-02,-4.371709773408838373e-03,-2.087912087912116021e-01,-3.076923076923065992e-02
3.000736236572265625e-02,-4.371709773408838373e-03,-1.428571428571459023e-01,-2.417582417582408993e-01
3.200769424438476562e-02,-4.371709773408838373e-03,-2.087912087912116021e-01,-1.890109890109883395e-01
3.400802612304687500e-02,-4.371709773408838373e-03,1.208791208791240024e-01,-4.527472527472511388e-01
3.600835800170898438e-02,-4.371709773408838373e-03,-2.087912087912116021e-01,-3.472527472527460191e-01
3.800868988037109375e-02,-4.371709773408838373e-03,-1.428571428571459023e-01,-2.065934065934058594e-01
4.000902175903320312e-02,-7.286182955667186434e-03,-7.692307692308020250e-02,-2.505494505494496593e-01
4.200935363769531250e-02,-7.286182955667186434e-03,-1.428571428571459023e-01,-5.142857142857160113e-01
