time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.614198634908113661e-01
3.336184773310523540e-03,3.834245656334919967e-05,2.268161820046466284e-02,7.571986422761887159e-01
6.672369546621047080e-03,1.527960732545819171e-04,4.515935706548333123e-02,7.529774210615661767e-01
1.000855431993157019e-02,3.425002205754758299e-04,6.742934956526347445e-02,7.487561998469435265e-01
1.334473909324209416e-02,6.065942690278086158e-04,8.948772867001260345e-02,7.445349786323209873e-01
1.668092386655261813e-02,9.442175891133580473e-04,1.113306273499382187e-01,7.403137574176983371e-01
2.001710863986314037e-02,1.354509551333901328e-03,1.329541785752477723e-01,7.360925362030756869e-01
2.335329341317366608e-02,1.836609526191217449e-03,1.543545153161487438e-01,7.318713149884531477e-01
2.668947818648418832e-02,2.389656884187082043e-03,1.755277705428486268e-01,7.276500937738304975e-01
3.002566295979471056e-02,3.012790995823273667e-03,1.964700772255549566e-01,7.234288725592078473e-01
3.336184773310523627e-02,3.705151231601571532e-03,2.171775683344751851e-01,7.192076513445853081e-01
3.669803250641576198e-02,4.465876962023752027e-03,2.376463768398167919e-01,7.149864301299626579e-01
4.003421727972628075e-02,5.294107557591591108e-03,2.578726357117872570e-01,7.107652089153401187e-01
4.337040205303680646e-02,6.188982388806869503e-03,2.778524779205940876e-01,7.065439877007174685e-01
4.670658682634733216e-02,7.149640826171364469e-03,2.975820364364447634e-01,7.023227664860948183e-01
5.004277159965785093e-02,8.175222240186850661e-03,3.170574442295467366e-01,6.981015452714722791e-01
5.337895637296837664e-02,9.264866001355107072e-03,3.362748342701076254e-01,6.938803240568496289e-01
5.671514114627890235e-02,1.041771148017791443e-02,3.552303395283348264e-01,6.896591028422269787e-01
6.005132591958942112e-02,1.163289804715704479e-02,3.739200929744357360e-01,6.854378816276044395e-01
6.338751069289995377e-02,1.290956507279428754e-02,3.923402275786180282e-01,6.812166604129817893e-01
6.672369546621047254e-02,1.424685192759140434e-02,4.104868763110889884e-01,6.769954391983592501e-01
7.005988023952099131e-02,1.564389798205017765e-02,4.283561721420561796e-01,6.727742179837365999e-01
7.339606501283152395e-02,1.709984260667239686e-02,4.459442480417273313e-01,6.685529967691139497e-01
7.673224978614204272e-02,1.861382517195982536e-02,4.632472369803094514e-01,6.643317755544914105e-01
8.006843455945256149e-02,2.018498504841424734e-02,4.802612719280104359e-01,6.601105543398687603e-01
8.340461933276309414e-02,2.181246160653744007e-02,4.969824858550376256e-01,6.558893331252461101e-01
8.674080410607361291e-02,2.349539421683118079e-02,5.134070117315984172e-01,6.516681119106235709e-01
9.007698887938413168e-02,2.523292224979724330e-02,5.295309825279004290e-01,6.474468906960009207e-01
9.341317365269466433e-02,2.702418507593741873e-02,5.453505312141511130e-01,6.432256694813782705e-01
9.674935842600518310e-02,2.886832206575346352e-02,5.608617907605580877e-01,6.390044482667557313e-01
1.000855431993157019e-01,3.076447229526596897e-02,5.760608354268780262e-01,6.346332808375608758e-01
1.034217279726262345e-01,3.271116376608842330e-02,5.908506615304410792e-01,6.245641572546225539e-01
1.067579127459367533e-01,3.470643324595247547e-02,6.051456198261692121e-01,6.144950336716842321e-01
1.100940975192472721e-01,3.674861540657174686e-02,6.189454020621582009e-01,6.044259100887460212e-01
1.134302822925578047e-01,3.883604491965989003e-02,6.322496999865033773e-01,5.943567865058076993e-01
1.167664670658683235e-01,4.096705645693051595e-02,6.450582053473004063e-01,5.842876629228693774e-01
1.201026518391788422e-01,4.313998469009725639e-02,6.573706098926449526e-01,5.742185393399310556e-01
1.234388366124893749e-01,4.535316429087375700e-02,6.691866053706325701e-01,5.641494157569927337e-01
1.267750213857999075e-01,4.760492993097365649e-02,6.805058835293588126e-01,5.540802921740544118e-01
1.301112061591104263e-01,4.989361628211053806e-02,6.913281361169190120e-01,5.440111685911162009e-01
1.334473909324209451e-01,5.221755801599806818e-02,7.016530548814090551e-01,5.339420450081778791e-01
1.367835757057314638e-01,5.457508980434987861e-02,7.114803315709242737e-01,5.238729214252395572e-01
1.401197604790419826e-01,5.696454631887958031e-02,7.208096579335604437e-01,5.138037978423013463e-01
1.434559452523525014e-01,5.938426223130083975e-02,7.296407257174128969e-01,5.037346742593630244e-01
1.467921300256630479e-01,6.183257221332727482e-02,7.379732266705774091e-01,4.936655506764247026e-01
1.501283147989735667e-01,6.430781093667246873e-02,7.458068525411495342e-01,4.835964270934863807e-01
1.534644995722840854e-01,6.680831307305010180e-02,7.531412950772247150e-01,4.735273035105481698e-01
1.568006843455946042e-01,6.933241329417380583e-02,7.599762460268985054e-01,4.634581799276098479e-01
1.601368691189051230e-01,7.187844627175718482e-02,7.663113971382666811e-01,4.533890563446715816e-01
1.634730538922156418e-01,7.444474667751389829e-02,7.721464401594244631e-01,4.433199327617333152e-01
1.668092386655261883e-01,7.702964918315755027e-02,7.774810668384678491e-01,4.332508091787949378e-01
1.701454234388367071e-01,7.963148846040180029e-02,7.823149689234921711e-01,4.231816855958566714e-01
1.734816082121472258e-01,8.224859918096023848e-02,7.866478381625927607e-01,4.131125620129183496e-01
1.768177929854577446e-01,8.487931601654652436e-02,7.904793663038657270e-01,4.030434384299800832e-01
1.801539777587682634e-01,8.752197363887427584e-02,7.938092450954060686e-01,3.929743148470418168e-01
1.834901625320787821e-01,9.017490671965715243e-02,7.966371662853100055e-01,3.829051912641035504e-01
1.868263473053893287e-01,9.283644993060877204e-02,7.989628216216724255e-01,3.728360676811651730e-01
1.901625320786998474e-01,9.550493794344272480e-02,8.007859028525892153e-01,3.627669440982269067e-01
1.934987168520103662e-01,9.817870542987267024e-02,8.021061017261560400e-01,3.526978205152885848e-01
1.968349016253208850e-01,1.008560870616122679e-01,8.029231099904682312e-01,3.426286969323503184e-01
2.001710863986314037e-01,1.035354161831344433e-01,8.032364853715000530e-01,3.323843914449092773e-01
2.035072711719419225e-01,1.062144424300301981e-01,8.029907410822455516e-01,3.188992207241685417e-01
2.068434559452524690e-01,1.088909020455660071e-01,8.021431246703752960e-01,3.054140500034276395e-01
2.101796407185629878e-01,1.115629600753491046e-01,8.006973571955601221e-01,2.919288792826869039e-01
2.135158254918735066e-01,1.142287815649867949e-01,7.986571597174709769e-01,2.784437085619461127e-01
2.168520102651840253e-01,1.168865315600863403e-01,7.960262532957793624e-01,2.649585378412053771e-01
2.201881950384945441e-01,1.195343751062550031e-01,7.928083589901558925e-01,2.514733671204645860e-01
2.235243798118050906e-01,1.221704772491000734e-01,7.890071978602719582e-01,2.379881963997237115e-01
2.268605645851156094e-01,1.247930030342287999e-01,7.846264909657982844e-01,2.245030256789829481e-01
2.301967493584261282e-01,1.274001175072485004e-01,7.796699593664062622e-01,2.110178549582421570e-01
2.335329341317366469e-01,1.299899857137663539e-01,7.741413241217668384e-01,1.975326842375014214e-01
2.368691189050471657e-01,1.325607726993897340e-01,7.680443062915509600e-01,1.840475135167606302e-01
2.402053036783576845e-01,1.351106435097258474e-01,7.613826269354299070e-01,1.705623427960198668e-01
2.435414884516682310e-01,1.376377631903820120e-01,7.541600071130745153e-01,1.570771720752789924e-01
2.468776732249787498e-01,1.401402967869654625e-01,7.463801678841559539e-01,1.435920013545382290e-01
2.502138579982892685e-01,1.426164093450834613e-01,7.380468303083452808e-01,1.301068306337974656e-01
2.535500427715998151e-01,1.450642659103432985e-01,7.291637154453134428e-01,1.166216599130565912e-01
2.568862275449103061e-01,1.474820315283522643e-01,7.197345443547319421e-01,1.031364891923159388e-01
2.602224123182208526e-01,1.498678712447176209e-01,7.097630380962710595e-01,8.965131847157506439e-02
2.635585970915313436e-01,1.522199501050466031e-01,6.992529177296027409e-01,7.616614775083441202e-02
2.668947818648418902e-01,1.545364331549465564e-01,6.882079043143972674e-01,6.268097703009350985e-02
2.702309666381523812e-01,1.568154854400246601e-01,6.766317189103262519e-01,4.919580630935288523e-02
2.735671514114629277e-01,1.590552720058882874e-01,6.645280825770605304e-01,3.571063558861198306e-02
2.769033361847734742e-01,1.612539578981446176e-01,6.519007163742709388e-01,2.222546486787113640e-02
2.802395209580839652e-01,1.634097081624009407e-01,6.387533413616289790e-01,8.740294147130456270e-03
2.835757057313945118e-01,1.655206878442645746e-01,6.250896785988054871e-01,-4.744876573610390391e-03
2.869118905047050028e-01,1.675850619893427262e-01,6.109134491454717431e-01,-1.823004729435107052e-02
2.902480752780155493e-01,1.696009956432427135e-01,5.962283740612982497e-01,-3.171521801509191718e-02
2.935842600513260958e-01,1.715666538515718542e-01,5.810381744059566200e-01,-4.520038873583281935e-02
2.969204448246365868e-01,1.734802016599372998e-01,5.653465712391176901e-01,-5.868555945657349948e-02
3.002566295979471334e-01,1.753398019327198909e-01,5.491572291538864281e-01,-7.222840019717383098e-02
3.035928143712576244e-01,1.771432872875799147e-01,5.324635507671696688e-01,-8.646328117608689801e-02
3.069289991445681709e-01,1.788889017216176991e-01,5.152636986874060687e-01,-1.006981621550002148e-01
