time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,5.494505494505830256e-02,-1.318681318681313996e-02
5.000352859497070312e-03,-1.457236591136279458e-03,-1.098901098901450268e-02,-4.395604395604379988e-03
1.000070571899414062e-02,-1.457236591136279458e-03,5.494505494505830256e-02,-4.395604395604379988e-03
1.500105857849121094e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,3.120879120879109792e-01
2.000141143798828125e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,1.890109890109883395e-01
2.500176429748535156e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,2.065934065934058594e-01
3.000235557556152344e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,1.450549450549445396e-01
3.500270843505859375e-02,-1.457236591136279458e-03,1.208791208791240024e-01,2.197802197802189994e-02
4.000329971313476562e-02,-1.457236591136279458e-03,-1.428571428571459023e-01,-7.472527472527445980e-02
4.500365257263183594e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-8.351648351648321977e-02
5.000376701354980469e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,1.318681318681313996e-02
5.500411987304687500e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-8.351648351648321977e-02
6.000447273254394531e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-9.230769230769197975e-02
6.500482559204101562e-02,-1.457236591136279458e-03,5.494505494505830256e-02,-1.186813186813182597e-01
7.000494003295898438e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,-1.362637362637357796e-01
7.500529289245605469e-02,-1.457236591136279458e-03,-3.406593406593430018e-01,-1.626373626373620596e-01
8.000564575195312500e-02,-1.457236591136279458e-03,-2.087912087912116021e-01,-1.274725274725270197e-01
8.500599861145019531e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-1.362637362637357796e-01
9.000611305236816406e-02,-1.457236591136279458e-03,-1.098901098901450268e-02,-2.769230769230759392e-01
9.500622749328613281e-02,-1.457236591136279458e-03,-2.087912087912116021e-01,-3.999999999999985789e-01
1.000065803527832031e-01,-4.371709773408838373e-03,-3.846153846153868017e-01,-4.527472527472511388e-01
1.050069332122802734e-01,-7.286182955667186434e-03,-6.483516483516496010e-01,-4.879120879120861787e-01
1.100072860717773438e-01,-7.286182955667186434e-03,-2.087912087912116021e-01,-6.813186813186824509e-01
1.150076389312744141e-01,-7.286182955667186434e-03,-1.428571428571459023e-01,-8.131868131868138505e-01
1.200077533721923828e-01,-7.286182955667186434e-03,-7.692307692308020250e-02,-8.835164835164839303e-01
1.250078678131103516e-01,-7.286182955667186434e-03,-7.692307692308020250e-02,-8.923076923076926903e-01
1.300079822540283203e-01,-1.020065613793974535e-02,-2.087912087912116021e-01,-9.098901098901102102e-01
1.350080966949462891e-01,-1.020065613793974535e-02,-2.087912087912116021e-01,-8.923076923076926903e-01
1.400084495544433594e-01,-1.020065613793974535e-02,-1.428571428571459023e-01,-8.747252747252751703e-01
1.450085639953613281e-01,-1.311512932021230426e-02,-2.747252747252773020e-01,-8.571428571428576504e-01
1.500089168548583984e-01,-1.311512932021230426e-02,-1.428571428571459023e-01,-9.450549450549452501e-01
1.550090312957763672e-01,-1.311512932021230426e-02,-2.087912087912116021e-01,-9.274725274725277302e-01
1.600093841552734375e-01,-1.602960250248486318e-02,-1.428571428571459023e-01,-8.483516483516488904e-01
1.650097370147705078e-01,-1.602960250248486318e-02,-5.164835164835182013e-01,-8.747252747252751703e-01
1.700100898742675781e-01,-1.894407568474321124e-02,-3.406593406593430018e-01,-9.978021978021978100e-01
