time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,-1.098901098901450268e-02,-4.395604395604379988e-03
2.000021934509277344e-02,7.286182955667186434e-03,-4.505494505494525015e-01,1.147252747252746730e+00
4.000067710876464844e-02,7.286182955667186434e-03,5.494505494505830256e-02,1.032967032967032850e+00
6.000089645385742188e-02,1.020065613793974535e-02,2.527472527472554020e-01,9.362637362637364902e-01
8.000111579895019531e-02,1.602960250248486318e-02,5.494505494505830256e-02,9.626373626373627701e-01
1.000013351440429688e-01,2.477302204928832907e-02,4.285714285714306016e-01,9.538461538461540101e-01
1.200015544891357422e-01,3.351644159609179496e-02,4.945054945054963014e-01,9.010989010989014503e-01
1.400017738342285156e-01,4.225986114289526085e-02,1.065934065934065700e+00,8.835164835164839303e-01
1.600019931793212891e-01,5.391775387197128566e-02,4.285714285714306016e-01,9.274725274725277302e-01
1.800024509429931641e-01,6.557564660104731047e-02,6.263736263736277010e-01,8.659340659340664104e-01
2.000026702880859375e-01,7.723353933012333528e-02,6.923076923076934008e-01,9.010989010989014503e-01
2.200028896331787109e-01,9.472037842374447791e-02,5.604395604395620012e-01,9.098901098901102102e-01
2.400031089782714844e-01,1.092927443350930616e-01,9.560439560439562001e-01,9.098901098901102102e-01
2.600033283233642578e-01,1.267795834286999934e-01,8.901098901098905003e-01,9.626373626373627701e-01
2.800035476684570312e-01,1.413519493400485771e-01,1.131868131868131400e+00,9.098901098901102102e-01
3.000037670135498047e-01,1.588387884336555089e-01,8.901098901098905003e-01,9.186813186813189702e-01
3.200039863586425781e-01,1.763256275272766516e-01,7.582417582417591007e-01,9.626373626373627701e-01
3.400042057037353516e-01,1.938124666208835833e-01,8.901098901098905003e-01,9.274725274725277302e-01
3.600044250488281250e-01,2.112993057145047260e-01,8.901098901098905003e-01,8.659340659340664104e-01
3.800046443939208984e-01,2.287861448081116578e-01,7.582417582417591007e-01,8.923076923076926903e-01
4.000048637390136719e-01,2.491874570840053593e-01,8.901098901098905003e-01,9.450549450549452501e-01
4.200050830841064453e-01,2.666742961776122911e-01,7.582417582417591007e-01,8.923076923076926903e-01
4.400053024291992188e-01,2.841611352712334337e-01,6.263736263736277010e-01,9.098901098901102102e-01
4.600055217742919922e-01,3.016479743648403655e-01,1.021978021978021900e+00,9.714285714285715301e-01
4.800057411193847656e-01,3.162203402761889492e-01,8.901098901098905003e-01,9.186813186813189702e-01
5.000059604644775391e-01,3.337071793697958810e-01,8.241758241758248005e-01,9.186813186813189702e-01
5.200061798095703125e-01,3.482795452811444648e-01,8.241758241758248005e-01,9.186813186813189702e-01
5.400063991546630859e-01,3.628519111924930485e-01,4.945054945054963014e-01,9.010989010989014503e-01
5.600066184997558594e-01,3.745098039215690733e-01,6.263736263736277010e-01,9.450549450549452501e-01
5.800068378448486328e-01,3.861676966506450981e-01,4.945054945054963014e-01,9.186813186813189702e-01
