time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,-1.098901098901450268e-02,-4.395604395604379988e-03
2.349305152893066406e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,4.087912087912073389e-01
2.849316596984863281e-02,-1.457236591136279458e-03,1.868131868131897022e-01,7.868131868131875706e-01
3.349328041076660156e-02,1.457236591136279458e-03,1.208791208791240024e-01,9.450549450549452501e-01
3.849387168884277344e-02,1.457236591136279458e-03,-7.692307692308020250e-02,9.010989010989014503e-01
4.349446296691894531e-02,1.457236591136279458e-03,5.494505494505830256e-02,8.747252747252751703e-01
4.849505424499511719e-02,1.457236591136279458e-03,-7.692307692308020250e-02,8.747252747252751703e-01
5.349540710449218750e-02,1.457236591136279458e-03,1.208791208791240024e-01,8.747252747252751703e-01
5.849599838256835938e-02,1.457236591136279458e-03,1.868131868131897022e-01,8.923076923076926903e-01
6.349658966064453125e-02,1.457236591136279458e-03,-7.692307692308020250e-02,9.010989010989014503e-01
6.849694252014160156e-02,1.457236591136279458e-03,-1.098901098901450268e-02,8.835164835164839303e-01
7.349705696105957031e-02,4.371709773408838373e-03,5.494505494505830256e-02,8.659340659340664104e-01
7.849717140197753906e-02,4.371709773408838373e-03,3.186813186813211018e-01,8.659340659340664104e-01
8.349776268005371094e-02,7.286182955667186434e-03,2.527472527472554020e-01,8.571428571428576504e-01
8.849811553955078125e-02,7.286182955667186434e-03,5.494505494505830256e-02,9.186813186813189702e-01
9.349870681762695312e-02,7.286182955667186434e-03,5.494505494505830256e-02,9.186813186813189702e-01
9.849882125854492188e-02,7.286182955667186434e-03,1.868131868131897022e-01,8.483516483516488904e-01
1.034991741180419922e-01,1.020065613793974535e-02,6.263736263736277010e-01,8.307692307692313705e-01
1.084992885589599609e-01,1.311512932021230426e-02,1.868131868131897022e-01,9.450549450549452501e-01
1.134994029998779297e-01,1.311512932021230426e-02,1.868131868131897022e-01,9.010989010989014503e-01
1.184999942779541016e-01,1.311512932021230426e-02,4.285714285714306016e-01,8.043956043956050905e-01
1.235003471374511719e-01,1.602960250248486318e-02,3.186813186813211018e-01,9.098901098901102102e-01
1.285006999969482422e-01,1.894407568474321124e-02,3.186813186813211018e-01,9.274725274725277302e-01
1.335008144378662109e-01,1.894407568474321124e-02,3.186813186813211018e-01,9.098901098901102102e-01
1.385009288787841797e-01,2.185854886701577016e-02,3.186813186813211018e-01,8.747252747252751703e-01
1.435010433197021484e-01,2.185854886701577016e-02,4.945054945054963014e-01,8.307692307692313705e-01
1.485011577606201172e-01,2.477302204928832907e-02,3.626373626373649017e-01,9.186813186813189702e-01
1.535012722015380859e-01,2.768749523156088799e-02,4.285714285714306016e-01,9.186813186813189702e-01
1.585016250610351562e-01,2.768749523156088799e-02,2.527472527472554020e-01,8.835164835164839303e-01
1.635017395019531250e-01,3.060196841381923605e-02,6.263736263736277010e-01,7.868131868131875706e-01
1.685020923614501953e-01,3.351644159609179496e-02,6.263736263736277010e-01,8.835164835164839303e-01
1.735024452209472656e-01,3.643091477836435388e-02,2.527472527472554020e-01,9.538461538461540101e-01
1.785027980804443359e-01,3.643091477836435388e-02,3.186813186813211018e-01,8.835164835164839303e-01
1.835031509399414062e-01,3.934538796063691279e-02,6.263736263736277010e-01,7.956043956043963306e-01
1.885032653808593750e-01,4.225986114289526085e-02,8.241758241758248005e-01,9.010989010989014503e-01
1.935036182403564453e-01,4.517433432516781977e-02,3.186813186813211018e-01,9.626373626373627701e-01
1.985039710998535156e-01,4.808880750744037869e-02,4.945054945054963014e-01,8.483516483516488904e-01
2.035040855407714844e-01,5.100328068971293760e-02,5.604395604395620012e-01,8.747252747252751703e-01
2.085041999816894531e-01,5.391775387197128566e-02,4.945054945054963014e-01,9.098901098901102102e-01
