,time,pos,vel,torque
0,0.0,(-3.0875622742273845+3.410605131648481e-17j),(0.530682998300665-1.3642420526593925e-16j),(3.9605322222730712+0j)
1,0.01,(-3.0758142441749925-3.979039320256561e-17j),(0.2102094654797341-2.0463630789890887e-16j),(3.831141669288956+0j)
2,0.02,(-3.0617373678059616-3.410605131648481e-17j),(1.0619944752042425+4.5474735088646414e-17j),(3.706026030522858-2.0463630789890887e-16j)
3,0.03,(-3.0453417672739396-4.5474735088646414e-17j),(0.5844557324738984+1.9326762412674726e-16j),(3.587717296739611+4.5474735088646414e-17j)
4,0.04,(-3.026639296197238-4.5474735088646414e-17j),(1.5713456268313215+5.684341886080802e-17j),(3.478403052181004+9.094947017729283e-17j)
5,0.05,(-3.0056435313112324+2.2737367544323207e-17j),(1.006285444394197+3.5242919693700973e-16j),(3.379885357589666-2.2737367544323206e-16j)
6,0.06,(-2.9823697629203583+0j),(2.0520202055467833+2.0463630789890887e-16j),(3.2935481721046203-9.094947017729283e-17j)
7,0.07,(-2.9568349841548494-4.5474735088646414e-17j),(1.4758269045842907-1.4779288903810086e-16j),(3.220333923089385-1.1368683772161603e-16j)
8,0.08,(-2.929057879037846-2.2737367544323207e-17j),(2.502212078649726+2.2737367544323206e-16j),(3.1607296512048233-1.0231815394945444e-16j)
9,0.09,(-2.899058809368981+4.5474735088646414e-17j),(1.9876025123417127+2.2737367544323207e-17j),(3.1147629680905298-1.3642420526593925e-16j)
10,0.1,(-2.8668598004310595-4.5474735088646414e-17j),(2.9247594523575224-1.3642420526593925e-16j),(3.082007869549237-2.501110429875553e-16j)
11,0.11,(-2.8324845255269246-4.5474735088646414e-17j),(2.5312451598701107-1.3642420526593925e-16j),(3.061600251908335+3.410605131648481e-17j)
12,0.12,(-2.7959582893541186-4.5474735088646414e-17j),(3.32619374340871+2.2737367544323206e-16j),(3.052262787050345-2.1600499167107046e-16j)
13,0.13,(-2.7573080102254552+0j),(3.0928496162070784-5.002220859751106e-16j),(3.05233862619447-5.684341886080802e-17j)
14,0.14,(-2.716562201144141+0j),(3.715260770641142+2.2737367544323207e-17j),(3.0598332274817697+1.1368683772161604e-17j)
15,0.15,(-2.6737509497426024-4.5474735088646414e-17j),(3.6567564767527885-1.2505552149377764e-16j),(3.0724634411773666+1.1368683772161603e-16j)
16,0.16,(-2.6289058970947115-4.5474735088646414e-17j),(4.101147059440038-4.5474735088646414e-17j),(3.0877128420015825+1.3642420526593925e-16j)
17,0.17,(-2.582060215411647-9.094947017729283e-17j),(4.207507141157771+2.1600499167107046e-16j),(3.102892173559848+2.501110429875553e-16j)
18,0.18,(-2.533248584632195+0j),(4.491684353535526+0j),(3.115203667500652+1.1368683772161603e-16j)
19,0.19,(-2.4825071679188238+1.3642420526593925e-16j),(4.7316876561565415-9.038103598868475e-16j),(3.1218079219054355+3.8653524825349453e-16j)
20,0.2,(-2.4298735860714813-9.094947017729283e-17j),(4.891805223286716-1.1368683772161604e-17j),(3.1198919710502273+2.0463630789890887e-16j)
21,0.21,(-2.3753868908716136+9.094947017729283e-17j),(5.219399892119933+1.1368683772161604e-17j),(3.106737153123508+2.501110429875553e-16j)
22,0.22,(-2.319087537369524-1.8189894035458566e-16j),(5.302482206689958+3.069544618483633e-16j),(3.079785384266307+1.5916157281026244e-16j)
23,0.23,(-2.2610173551287875-4.5474735088646414e-17j),(5.66515714527547-1.5916157281026244e-16j),(3.0367024764163886+2.2737367544323207e-17j)
24,0.24,(-2.2012195184420498+2.728484105318785e-16j),(5.7203083731556275+3.8653524825349453e-16j),(2.975437192354964+3.410605131648481e-16j)
25,0.25,(-2.13973851553318-1.3642420526593925e-16j),(6.068089060829058+0j),(2.894274813016421+1.3642420526593925e-16j)
26,0.26,(-2.0766201167613896+0j),(6.137779695554909-2.2737367544323207e-17j),(2.791884097972153-4.5474735088646414e-17j)
27,0.27,(-2.0119113418435597+9.094947017729283e-17j),(6.43144470327775-2.2737367544323207e-17j),(2.6673566480095547+3.637978807091713e-16j)
28,0.28,(-1.9456604261117232-4.5474735088646414e-17j),(6.544233627271886-2.501110429875553e-16j),(2.520237826434055+4.0927261579781775e-16j)
29,0.29,(-1.8779167858232766-4.5474735088646414e-17j),(6.761487285749046-5.002220859751106e-16j),(2.3505485602770917+2.2737367544323206e-16j)
30,0.3,(-1.8087309825422284-4.5474735088646414e-17j),(6.927299493202189+1.1368683772161603e-16j),(2.158797520816226+2.728484105318785e-16j)
31,0.31,(-1.7381546866104503+9.094947017729283e-17j),(7.065964073577884+2.0463630789890887e-16j),(1.9459833712554382+4.5474735088646414e-17j)
32,0.32,(-1.6662406397286293-2.728484105318785e-16j),(7.274639310033195-2.955857780762017e-16j),(1.7135869644209882+2.728484105318785e-16j)
33,0.33,(-1.5930426166673262-2.728484105318785e-16j),(7.352397062650361+1.1937117960769685e-16j),(1.4635535711156675+4.547473508864641e-16j)
34,0.34,(-1.518615386129264+0j),(7.575713812066698-1.3642420526593925e-16j),(1.1982654164972966+3.8653524825349453e-16j)
35,0.35000000000000003,(-1.4430146707847358-2.728484105318785e-16j),(7.626465104621275-3.240074875066057e-16j),(0.9205049936769713+3.637978807091713e-16j)
