time,position,velocity,torque
0.000000000000000000e+00,-1.457236591136279458e-03,-7.692307692308020250e-02,-1.318681318681313996e-02
2.205729484558105469e-02,-1.457236591136279458e-03,-7.692307692308020250e-02,-3.912087912087898189e-01
2.705764770507812500e-02,-1.457236591136279458e-03,-4.505494505494525015e-01,-7.516483516483525307e-01
3.205800056457519531e-02,-7.286182955667186434e-03,-8.461538461538467004e-01,-7.692307692307700506e-01
3.705811500549316406e-02,-1.020065613793974535e-02,-6.483516483516496010e-01,-1.015384615384615330e+00
4.205846786499023438e-02,-1.020065613793974535e-02,6.263736263736277010e-01,-1.120879120879120450e+00
4.705929756164550781e-02,-7.286182955667186434e-03,2.527472527472554020e-01,-8.043956043956050905e-01
5.205965042114257812e-02,-1.020065613793974535e-02,-5.164835164835182013e-01,-7.604395604395612907e-01
5.706024169921875000e-02,-1.020065613793974535e-02,-2.747252747252773020e-01,-9.538461538461540101e-01
6.206059455871582031e-02,-1.311512932021230426e-02,1.208791208791240024e-01,-9.450549450549452501e-01
6.706118583679199219e-02,-1.020065613793974535e-02,-1.098901098901450268e-02,-8.483516483516488904e-01
7.206177711486816406e-02,-1.311512932021230426e-02,-2.087912087912116021e-01,-8.395604395604401304e-01
7.706212997436523438e-02,-1.602960250248486318e-02,-4.505494505494525015e-01,-8.659340659340664104e-01
8.206248283386230469e-02,-1.602960250248486318e-02,-7.692307692308020250e-02,-9.362637362637364902e-01
8.706259727478027344e-02,-1.602960250248486318e-02,-7.692307692308020250e-02,-8.835164835164839303e-01
9.206271171569824219e-02,-1.894407568474321124e-02,-3.406593406593430018e-01,-8.131868131868138505e-01
9.706282615661621094e-02,-1.894407568474321124e-02,-4.505494505494525015e-01,-8.747252747252751703e-01
1.020636558532714844e-01,-2.185854886701577016e-02,-2.087912087912116021e-01,-9.010989010989014503e-01
1.070640087127685547e-01,-2.185854886701577016e-02,-4.505494505494525015e-01,-9.186813186813189702e-01
1.120641231536865234e-01,-2.477302204928832907e-02,-3.406593406593430018e-01,-8.835164835164839303e-01
1.170644760131835938e-01,-2.477302204928832907e-02,-3.846153846153868017e-01,-8.307692307692313705e-01
1.220650672912597656e-01,-2.768749523156088799e-02,-2.747252747252773020e-01,-9.274725274725277302e-01
1.270651817321777344e-01,-3.060196841381923605e-02,-3.406593406593430018e-01,-9.274725274725277302e-01
1.320657730102539062e-01,-3.351644159609179496e-02,-3.406593406593430018e-01,-9.274725274725277302e-01
1.370658874511718750e-01,-3.351644159609179496e-02,-5.824175824175839011e-01,-8.395604395604401304e-01
1.420660018920898438e-01,-3.643091477836435388e-02,-7.142857142857153008e-01,-8.659340659340664104e-01
1.470661163330078125e-01,-3.934538796063691279e-02,-7.802197802197810006e-01,-8.923076923076926903e-01
1.520669460296630859e-01,-4.225986114289526085e-02,-2.747252747252773020e-01,-9.098901098901102102e-01
1.570672988891601562e-01,-4.517433432516781977e-02,-7.142857142857153008e-01,-8.835164835164839303e-01
1.620678901672363281e-01,-4.808880750744037869e-02,-7.142857142857153008e-01,-8.659340659340664104e-01
1.670682430267333984e-01,-5.100328068971293760e-02,-5.164835164835182013e-01,-9.186813186813189702e-01
1.720683574676513672e-01,-5.391775387197128566e-02,-5.164835164835182013e-01,-9.714285714285715301e-01
1.770684719085693359e-01,-5.391775387197128566e-02,-3.846153846153868017e-01,-8.659340659340664104e-01
1.820690631866455078e-01,-5.683222705424384458e-02,-7.142857142857153008e-01,-8.659340659340664104e-01
1.870694160461425781e-01,-5.974670023651640349e-02,-6.483516483516496010e-01,-9.362637362637364902e-01
1.920700073242187500e-01,-6.557564660104731047e-02,-7.142857142857153008e-01,-9.098901098901102102e-01
1.970703601837158203e-01,-6.849011978331986938e-02,-7.142857142857153008e-01,-8.483516483516488904e-01
2.020709514617919922e-01,-7.140459296559242830e-02,-6.483516483516496010e-01,-8.747252747252751703e-01
2.070710659027099609e-01,-7.431906614786498722e-02,-5.824175824175839011e-01,-9.098901098901102102e-01
2.120711803436279297e-01,-7.723353933012333528e-02,-5.164835164835182013e-01,-9.714285714285715301e-01
2.170712947845458984e-01,-8.014801251239589419e-02,-8.461538461538467004e-01,-9.186813186813189702e-01
2.220714092254638672e-01,-8.306248569466845311e-02,-7.802197802197810006e-01,-8.747252747252751703e-01
2.270720005035400391e-01,-8.889143205919936008e-02,-9.120879120879124002e-01,-8.747252747252751703e-01
2.320721149444580078e-01,-9.180590524147191900e-02,-8.461538461538467004e-01,-8.659340659340664104e-01
2.370727062225341797e-01,-9.472037842374447791e-02,-7.802197802197810006e-01,-8.923076923076926903e-01
2.420728206634521484e-01,-9.763485160601703683e-02,-7.802197802197810006e-01,-9.098901098901102102e-01
2.470731735229492188e-01,-1.034637979705479438e-01,-5.824175824175839011e-01,-9.186813186813189702e-01
2.520732879638671875e-01,-1.063782711528205027e-01,-6.483516483516496010e-01,-9.010989010989014503e-01
2.570734024047851562e-01,-1.092927443350930616e-01,-8.461538461538467004e-01,-9.010989010989014503e-01
