time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.404458769362193493e-02
1.667074081730380436e-03,-2.327488498988934891e-07,-1.653997754490581489e-04,-1.439436466269360983e-02
3.334148163460760872e-03,-9.321024886123926059e-07,-3.346267291295006770e-04,-1.474414163176528472e-02
5.001222245191141308e-03,-2.099721549665726516e-06,-5.076573278608064376e-04,-1.509391860083696309e-02
6.668296326921521744e-03,-3.737266666584121738e-06,-6.844680384624539588e-04,-1.544369556990863798e-02
8.335370408651902180e-03,-5.846398472892810006e-06,-8.650353277539227443e-04,-1.579347253898031114e-02
1.000244449038228262e-02,-8.428777602117014581e-06,-1.049335662554690780e-03,-1.614324950805199471e-02
1.166951857211266305e-02,-1.148606468778196762e-05,-1.237345509684237028e-03,-1.649302647712366440e-02
1.333659265384304349e-02,-1.501992036341289408e-05,-1.429041335962040775e-03,-1.684280344619534103e-02
1.500366673557342392e-02,-1.903200526253502655e-05,-1.624399608207580548e-03,-1.719258041526701419e-02
1.667074081730380436e-02,-2.352398001867359590e-05,-1.823396793240335528e-03,-1.754235738433869429e-02
1.833781489903418480e-02,-2.849750526535381947e-05,-2.026009357879783156e-03,-1.789213435341037092e-02
2.000488898076456523e-02,-3.395424163610092646e-05,-2.232213768945404131e-03,-1.824191132248204755e-02
2.167196306249494567e-02,-3.989584976444015283e-05,-2.441986493256675245e-03,-1.859168829155372418e-02
2.333903714422532610e-02,-4.632399028389672438e-05,-2.655303997633076760e-03,-1.894146526062540428e-02
2.500611122595570654e-02,-5.324032382799587031e-05,-2.872142748894088073e-03,-1.929124222969707397e-02
2.667318530768608698e-02,-6.064651103026280626e-05,-3.092479213859185110e-03,-1.964101919876875407e-02
2.834025938941646741e-02,-6.854421252422280208e-05,-3.316289859347850300e-03,-1.999079616784043070e-02
3.000733347114684785e-02,-7.693508894340101920e-05,-3.543551152179560005e-03,-2.034057313691210386e-02
3.167440755287723175e-02,-8.582080092132274101e-05,-3.774239559173793186e-03,-2.069035010598378049e-02
3.334148163460760872e-02,-9.520300909151318994e-05,-4.008331547150032273e-03,-2.104012707505545712e-02
3.500855571633798569e-02,-1.050833740874975884e-04,-4.245803582927748857e-03,-2.138990404412713028e-02
3.667562979806836265e-02,-1.154635565428011181e-04,-4.486632133326427969e-03,-2.173968101319881038e-02
3.834270387979873962e-02,-1.263452170909490422e-04,-4.730793665165545538e-03,-2.208945798227048354e-02
4.000977796152911659e-02,-1.377300163654666509e-04,-4.978264645264581824e-03,-2.243923495134216017e-02
4.167685204325949355e-02,-1.496196149998790174e-04,-5.229021540443014489e-03,-2.278901192041384027e-02
4.334392612498987052e-02,-1.620156736277116082e-04,-5.483040817520323795e-03,-2.313878888948551690e-02
4.501100020672024749e-02,-1.749198528824894017e-04,-5.740298943315986537e-03,-2.348856585855718312e-02
4.667807428845062445e-02,-1.883338133977377558e-04,-6.000772384649482108e-03,-2.383834282762886322e-02
4.834514837018100142e-02,-2.022592158069818388e-04,-6.264437608340292507e-03,-2.418811979670053638e-02
5.001222245191137838e-02,-2.166977207437470357e-04,-6.531271081207891058e-03,-2.453789676577221648e-02
5.167929653364175535e-02,-2.316509888415584605e-04,-6.801249270071759757e-03,-2.488767373484389311e-02
5.334637061537213232e-02,-2.471206807339412542e-04,-7.074348641751376267e-03,-2.523745070391556627e-02
5.501344469710250928e-02,-2.631084570544208021e-04,-7.350545663066219981e-03,-2.558722767298724984e-02
5.668051877883288625e-02,-2.796159784365220553e-04,-7.629816800835773766e-03,-2.593700464205891607e-02
5.834759286056326322e-02,-2.966449055137707243e-04,-7.912138521879507475e-03,-2.628678161113059616e-02
6.001466694229364018e-02,-3.141968989196915435e-04,-8.197487293016907442e-03,-2.663655858020227279e-02
6.168174102402401715e-02,-3.322736192878100606e-04,-8.485839581067451329e-03,-2.698633554927395289e-02
6.334881510575439412e-02,-3.508767272516513354e-04,-8.777171852850613326e-03,-2.733611251834562605e-02
6.501588918748477108e-02,-3.700078834447408072e-04,-9.071460575185872829e-03,-2.768588948741729575e-02
6.668296326921514805e-02,-3.896687485006035357e-04,-9.368682214892719642e-03,-2.803566645648897585e-02
6.835003735094552502e-02,-4.098609830527646350e-04,-9.668813238790619283e-03,-2.838544342556064901e-02
7.001711143267590198e-02,-4.305862477347494901e-04,-9.971830113699054615e-03,-2.873522039463232564e-02
7.168418551440627895e-02,-4.518462031800833233e-04,-1.027770930643750504e-02,-2.908499736370400574e-02
7.335125959613665592e-02,-4.736425100222915198e-04,-1.058642728382545341e-02,-2.943477433277568583e-02
7.501833367786703288e-02,-4.959768288948989768e-04,-1.089796051268237045e-02,-2.978455130184735553e-02
7.668540775959740985e-02,-5.188508204314310791e-04,-1.121228545982774077e-02,-3.013432827091903909e-02
7.835248184132778682e-02,-5.422661452654131036e-04,-1.152937859208103856e-02,-3.048410523999071225e-02
8.001955592305816378e-02,-5.662244640303702725e-04,-1.184921637626175535e-02,-3.083388220906238888e-02
8.168663000478854075e-02,-5.907274373598275915e-04,-1.217177527918935319e-02,-3.118365917813406898e-02
8.335370408651891772e-02,-6.157767258873103914e-04,-1.249703176768331495e-02,-3.153343614720573868e-02
8.502077816824929468e-02,-6.413739902463444368e-04,-1.282496230856312869e-02,-3.188321311627741184e-02
8.668785224997967165e-02,-6.675208910704541910e-04,-1.315554336864826340e-02,-3.223299008534908500e-02
8.835492633171004861e-02,-6.942190889931652018e-04,-1.348875141475820022e-02,-3.258276705442076510e-02
9.002200041344042558e-02,-7.214702446480026916e-04,-1.382456291371242027e-02,-3.293254402349244520e-02
9.168907449517080255e-02,-7.492760186684922080e-04,-1.416295433233040642e-02,-3.328232099256411836e-02
9.335614857690117951e-02,-7.776380716881582146e-04,-1.450390213743162418e-02,-3.363209796163579846e-02
9.502322265863155648e-02,-8.065580643405268011e-04,-1.484738279583556510e-02,-3.398187493070747162e-02
9.669029674036193345e-02,-8.360376572591221057e-04,-1.519337277436170336e-02,-3.433165189977914478e-02
9.835737082209231041e-02,-8.660785110774706520e-04,-1.554184853982951836e-02,-3.468142886885081794e-02
1.000244449038226874e-01,-8.966822864290969032e-04,-1.589278655905848603e-02,-3.503120583792249804e-02
1.016915189855530643e-01,-9.278506439475261904e-04,-1.624616329886809096e-02,-3.538098280699417814e-02
1.033585930672834413e-01,-9.595852442662834107e-04,-1.660195522607780388e-02,-3.573075977606585130e-02
1.050256671490138183e-01,-9.918877480188947621e-04,-1.696013880750710939e-02,-3.608053674513753140e-02
1.066927412307441952e-01,-1.024759815838884600e-03,-1.732069050997548862e-02,-3.643031371420920456e-02
1.083598153124745722e-01,-1.058203108359777930e-03,-1.768358680030241228e-02,-3.678009068328088466e-02
1.100268893942049492e-01,-1.092219286215101491e-03,-1.804880414530736499e-02,-3.712986765235256476e-02
1.116939634759353261e-01,-1.126810010038379207e-03,-1.841631901180982786e-02,-3.747964462142424485e-02
1.133610375576657031e-01,-1.161976940463135865e-03,-1.878610786662927509e-02,-3.782942159049590414e-02
1.150281116393960801e-01,-1.197721738122897771e-03,-1.915814717658518088e-02,-3.817919855956758424e-02
1.166951857211264570e-01,-1.234046063651189932e-03,-1.953241340849703675e-02,-3.852897552863926434e-02
1.183622598028568340e-01,-1.270951577681537787e-03,-1.990888302918432037e-02,-3.887875249771093750e-02
1.200293338845872110e-01,-1.308439940847465907e-03,-2.028753250546648165e-02,-3.922852946678261760e-02
1.216964079663175879e-01,-1.346512813782499516e-03,-2.066833830416303988e-02,-3.957830643585429076e-02
1.233634820480479649e-01,-1.385171857120164919e-03,-2.105127689209344496e-02,-3.992808340492596392e-02
1.250305561297783419e-01,-1.424418731493985605e-03,-2.143632473607719538e-02,-4.027786037399763708e-02
1.266976302115087327e-01,-1.464255097537488746e-03,-2.182345830293376185e-02,-4.062763734306931718e-02
1.283647042932391236e-01,-1.504682615884198483e-03,-2.221265405948262550e-02,-4.097741431214099728e-02
1.300317783749695144e-01,-1.545702947167639169e-03,-2.260388847254326053e-02,-4.132719128121267738e-02
1.316988524566999053e-01,-1.587317752021337978e-03,-2.299713800893514459e-02,-4.167696825028435054e-02
1.333659265384302961e-01,-1.629528691078819484e-03,-2.339237913547776576e-02,-4.202674521935601676e-02
1.350330006201606869e-01,-1.672337424973607605e-03,-2.378958831899058782e-02,-4.237652218842769686e-02
1.367000747018910778e-01,-1.715745614339229518e-03,-2.418874202629310230e-02,-4.272629915749938390e-02
1.383671487836214686e-01,-1.759754919809209360e-03,-2.458981672420479381e-02,-4.307607612657105706e-02
1.400342228653518595e-01,-1.804367002017071920e-03,-2.499278887954511919e-02,-4.342585309564272328e-02
1.417012969470822503e-01,-1.849583521596343720e-03,-2.539763495913357344e-02,-4.377563006471440338e-02
1.433683710288126412e-01,-1.895406139180547600e-03,-2.580433142978962729e-02,-4.412540703378608348e-02
1.450354451105430320e-01,-1.941836515403212900e-03,-2.621285475833276535e-02,-4.447518400285775664e-02
1.467025191922734229e-01,-1.988876310897861807e-03,-2.662318141158247567e-02,-4.482496097192944368e-02
1.483695932740038137e-01,-2.036527186298019328e-03,-2.703528785635820469e-02,-4.517473794100110990e-02
1.500366673557342045e-01,-2.084790802237211985e-03,-2.744915055947947519e-02,-4.552451491007279694e-02
