time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.215362782621029369e+00
1.000250062515629012e-03,4.190906146969065864e-06,4.190906146969066576e-03,1.214403514866332356e+00
2.000500125031258025e-03,1.256936950827411450e-05,8.378463361305047569e-03,1.213447880650022181e+00
3.000750187546886820e-03,2.513201260078850135e-05,1.256264309251438858e-02,1.212495876201639788e+00
4.001000250062516049e-03,4.187542941102357274e-05,1.674341681023507750e-02,1.211547497734778434e+00
5.001250312578145278e-03,6.279618541548513005e-05,2.092075600446156522e-02,1.210602741447206476e+00
6.001500375093773640e-03,8.789081760125509106e-05,2.509463218576996404e-02,1.200952145341096733e+00
7.001750437609402869e-03,1.171258018723851435e-04,2.923498427113004755e-02,1.188954823191769705e+00
8.002000500125032098e-03,1.504594813573040908e-04,3.333367948491895716e-02,1.176967956504808344e+00
9.002250562640661327e-03,1.878501950295606831e-04,3.739071367225657583e-02,1.164991320545947451e+00
1.000250062515629056e-02,2.292562773415732929e-04,4.140608231201261397e-02,1.153024690641575978e+00
1.100275068767191979e-02,2.746360578586337685e-04,4.537978051706047233e-02,1.141067842178026925e+00
1.200300075018754728e-02,3.239478608931661016e-04,4.931180303453235741e-02,1.129120550600859030e+00
1.300325081270317651e-02,3.771500051392416585e-04,5.320214424607554171e-02,1.117182591414142889e+00
1.400350087521880574e-02,4.342008033073515563e-04,5.705079816810987997e-02,1.105253740179741095e+00
1.500375093773443497e-02,4.950585617594380552e-04,6.085775845208651891e-02,1.093333772516595914e+00
1.600400100025006420e-02,5.596815801441858617e-04,6.462301838474780735e-02,1.081422464100007419e+00
1.700425106276569343e-02,6.280281510325743440e-04,6.834657088838842764e-02,1.059121587339037385e+00
1.800450112528132265e-02,7.000207043698235179e-04,7.199255333724917383e-02,1.058352843160488055e+00
1.900475118779695188e-02,7.756558830671460856e-04,7.563517869732253041e-02,1.057587767085211405e+00
2.000500125031258111e-02,8.549303069502780768e-04,7.927442388313199473e-02,1.033803468068749787e+00
2.100525131282821034e-02,9.377611835131851800e-04,8.283087656290713530e-02,1.021932148717614508e+00
2.200550137534383957e-02,1.024106764601325501e-03,8.634558108814041621e-02,1.010068142701754157e+00
2.300575143785946880e-02,1.113925292799384549e-03,8.981852819805907773e-02,9.982112260712802110e-01
2.400600150037509456e-02,1.207175001068688976e-03,9.324970826930446821e-02,9.863611749269026729e-01
2.500625156289072379e-02,1.303814112384891685e-03,9.663911131620267492e-02,9.745177654192040961e-01
2.600650162540635302e-02,1.403800839375928108e-03,9.998672699103641759e-02,9.626807737479236016e-01
2.700675168792198225e-02,1.507093383960246124e-03,1.032925445843180523e-01,9.508499761612279055e-01
2.800700175043761148e-02,1.613649936985309856e-03,1.065565530250637966e-01,9.390251489549880093e-01
2.900725181295324070e-02,1.723428677866378853e-03,1.097787408810689952e-01,9.272060684720599966e-01
3.000750187546886993e-02,1.836387774225563523e-03,1.129590963591846631e-01,9.153925111015532856e-01
3.100775193798449916e-02,1.952485381531158561e-03,1.160976073055950686e-01,9.035842532781108716e-01
3.200800200050012839e-02,2.071679642737255227e-03,1.191942612060964968e-01,8.917810714811804651e-01
3.300825206301575415e-02,2.193928687923632492e-03,1.222490451863771505e-01,8.799827422342880734e-01
3.400850212553138685e-02,2.319190633935930713e-03,1.252619460122981199e-01,8.681890421043114703e-01
3.500875218804701261e-02,2.447423584026106342e-03,1.282329500901754349e-01,8.563997477007516679e-01
3.600900225056264531e-02,2.578585627493169830e-03,1.311620434670633106e-01,8.446146356750063866e-01
3.700925231307827107e-02,2.712634839324208451e-03,1.340492118310384340e-01,8.328334827196371970e-01
3.800950237559390377e-02,2.849529279835693631e-03,1.368944405114852214e-01,8.210560655676438779e-01
3.900975243810952953e-02,2.989226994315075797e-03,1.396977144793823122e-01,8.092821609917298931e-01
4.001000250062516223e-02,3.131686012662665899e-03,1.424590183475899774e-01,7.975115458035747507e-01
4.101025256314078798e-02,3.276864349033804455e-03,1.451783363711386943e-01,7.857439968530987029e-01
4.201050262565642068e-02,3.424720001481322898e-03,1.478556524475186096e-01,7.739792910277308868e-01
4.301075268817204644e-02,3.575210951598292893e-03,1.504909501169701402e-01,7.622172052516748009e-01
4.401100275068767914e-02,3.728295164161068379e-03,1.530842125627755179e-01,7.504575164851746694e-01
4.501125281320330490e-02,3.883930586772619490e-03,1.556354226115513051e-01,6.757372105056428380e-01
4.601150287571893760e-02,4.041858036432995245e-03,1.579274496603760569e-01,6.749375114948279464e-01
4.701175293823456336e-02,4.202073206303285832e-03,1.602151698702905802e-01,6.741412623224971590e-01
