time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.404458769362193320e-02
1.667074081730380653e-03,-2.327488498988935155e-07,-1.653997754490581489e-04,-1.439436466269360983e-02
3.334148163460761306e-03,-9.321024886123929236e-07,-3.346267291295006770e-04,-1.474414163176528472e-02
5.001222245191142175e-03,-2.099721549665726516e-06,-5.076573278608064376e-04,-1.509391860083696135e-02
6.668296326921522611e-03,-3.737266666584122162e-06,-6.844680384624540672e-04,-1.544369556990863798e-02
8.335370408651903915e-03,-5.846398472892810006e-06,-8.650353277539227443e-04,-1.579347253898031461e-02
1.000244449038228435e-02,-8.428777602117014581e-06,-1.049335662554690780e-03,-1.614324950805199124e-02
1.166951857211266479e-02,-1.148606468778196593e-05,-1.237345509684237245e-03,-1.649302647712366787e-02
1.333659265384304522e-02,-1.501992036341289408e-05,-1.429041335962040775e-03,-1.684280344619534103e-02
1.500366673557342566e-02,-1.903200526253502316e-05,-1.624399608207580331e-03,-1.719258041526701766e-02
1.667074081730380783e-02,-2.352398001867359251e-05,-1.823396793240335094e-03,-1.754235738433869429e-02
1.833781489903418827e-02,-2.849750526535381608e-05,-2.026009357879783156e-03,-1.789213435341037092e-02
2.000488898076456870e-02,-3.395424163610092646e-05,-2.232213768945404131e-03,-1.824191132248204755e-02
2.167196306249494914e-02,-3.989584976444014605e-05,-2.441986493256675245e-03,-1.859168829155372418e-02
2.333903714422532957e-02,-4.632399028389672438e-05,-2.655303997633076760e-03,-1.894146526062540081e-02
2.500611122595571001e-02,-5.324032382799587709e-05,-2.872142748894087640e-03,-1.929124222969707397e-02
2.667318530768609045e-02,-6.064651103026281982e-05,-3.092479213859185543e-03,-1.964101919876875060e-02
2.834025938941647088e-02,-6.854421252422280208e-05,-3.316289859347850300e-03,-1.999079616784042723e-02
3.000733347114685132e-02,-7.693508894340103275e-05,-3.543551152179560439e-03,-2.034057313691210386e-02
3.167440755287723175e-02,-8.582080092132274101e-05,-3.774239559173793619e-03,-2.069035010598378049e-02
3.334148163460761566e-02,-9.520300909151320349e-05,-4.008331547150031406e-03,-2.104012707505545712e-02
3.500855571633799262e-02,-1.050833740874975613e-04,-4.245803582927748857e-03,-2.138990404412713375e-02
3.667562979806837653e-02,-1.154635565428011452e-04,-4.486632133326427969e-03,-2.173968101319880691e-02
3.834270387979875350e-02,-1.263452170909490694e-04,-4.730793665165546405e-03,-2.208945798227048354e-02
4.000977796152913740e-02,-1.377300163654666509e-04,-4.978264645264582691e-03,-2.243923495134216017e-02
4.167685204325951437e-02,-1.496196149998790445e-04,-5.229021540443015356e-03,-2.278901192041383680e-02
4.334392612498989827e-02,-1.620156736277115811e-04,-5.483040817520323795e-03,-2.313878888948551343e-02
4.501100020672027524e-02,-1.749198528824894017e-04,-5.740298943315986537e-03,-2.348856585855718659e-02
4.667807428845065915e-02,-1.883338133977377829e-04,-6.000772384649482975e-03,-2.383834282762886669e-02
4.834514837018103611e-02,-2.022592158069818659e-04,-6.264437608340291640e-03,-2.418811979670053985e-02
5.001222245191142002e-02,-2.166977207437470628e-04,-6.531271081207891058e-03,-2.453789676577221648e-02
5.167929653364179698e-02,-2.316509888415583791e-04,-6.801249270071759757e-03,-2.488767373484389311e-02
5.334637061537218089e-02,-2.471206807339412542e-04,-7.074348641751377134e-03,-2.523745070391556974e-02
5.501344469710256480e-02,-2.631084570544207479e-04,-7.350545663066221716e-03,-2.558722767298724637e-02
5.668051877883294176e-02,-2.796159784365221095e-04,-7.629816800835773766e-03,-2.593700464205891953e-02
5.834759286056332567e-02,-2.966449055137706701e-04,-7.912138521879509209e-03,-2.628678161113059963e-02
6.001466694229370263e-02,-3.141968989196915435e-04,-8.197487293016907442e-03,-2.663655858020227279e-02
6.168174102402408654e-02,-3.322736192878100606e-04,-8.485839581067451329e-03,-2.698633554927395289e-02
6.334881510575446351e-02,-3.508767272516513896e-04,-8.777171852850613326e-03,-2.733611251834562605e-02
6.501588918748484047e-02,-3.700078834447407530e-04,-9.071460575185874564e-03,-2.768588948741729922e-02
6.668296326921523132e-02,-3.896687485006035357e-04,-9.368682214892719642e-03,-2.803566645648897931e-02
6.835003735094560828e-02,-4.098609830527646350e-04,-9.668813238790619283e-03,-2.838544342556065248e-02
7.001711143267598525e-02,-4.305862477347494901e-04,-9.971830113699054615e-03,-2.873522039463233257e-02
7.168418551440636222e-02,-4.518462031800832691e-04,-1.027770930643750504e-02,-2.908499736370400574e-02
7.335125959613675306e-02,-4.736425100222915198e-04,-1.058642728382545341e-02,-2.943477433277568583e-02
7.501833367786713003e-02,-4.959768288948988683e-04,-1.089796051268237219e-02,-2.978455130184735900e-02
7.668540775959750699e-02,-5.188508204314310791e-04,-1.121228545982774077e-02,-3.013432827091903216e-02
7.835248184132788396e-02,-5.422661452654129952e-04,-1.152937859208104029e-02,-3.048410523999071225e-02
8.001955592305827480e-02,-5.662244640303702725e-04,-1.184921637626175188e-02,-3.083388220906238542e-02
8.168663000478865177e-02,-5.907274373598275915e-04,-1.217177527918935145e-02,-3.118365917813406551e-02
8.335370408651902874e-02,-6.157767258873104999e-04,-1.249703176768331495e-02,-3.153343614720573868e-02
8.502077816824941958e-02,-6.413739902463445452e-04,-1.282496230856313042e-02,-3.188321311627741877e-02
8.668785224997979655e-02,-6.675208910704541910e-04,-1.315554336864826340e-02,-3.223299008534909194e-02
8.835492633171017351e-02,-6.942190889931652018e-04,-1.348875141475820195e-02,-3.258276705442076510e-02
9.002200041344055048e-02,-7.214702446480026916e-04,-1.382456291371242027e-02,-3.293254402349244520e-02
9.168907449517094133e-02,-7.492760186684920996e-04,-1.416295433233040642e-02,-3.328232099256411836e-02
9.335614857690131829e-02,-7.776380716881582146e-04,-1.450390213743162592e-02,-3.363209796163579846e-02
